screen_id,area,name_ru,mvp_priority,compact_pattern,expanded_pattern,primary_action,key_states
OB-01,Onboarding,Ценность Dora,P0,full-screen single pane,centered max-width pane,Продолжить,"default; large-text"
OB-02,Onboarding,Local-first и приватность,P0,full-screen single pane,centered max-width pane,Продолжить,"default; details-expanded"
OB-03,Onboarding,Согласие участников,P0,full-screen single pane,centered max-width pane,Подтвердить понимание,"unchecked; checked; legal-link"
OB-04,Onboarding,Объяснение microphone permission,P0,full-screen single pane,centered max-width pane,Разрешить микрофон,"before-request; denied; dont-ask; allowed"
OB-05,Onboarding,Режим обработки,P0,selectable cards,centered selectable cards,Выбрать Local,"local; hybrid; cloud; consent-required"
OB-06,Onboarding,Выбор и загрузка модели,P0,card and progress,centered card and details,Скачать или позже,"not-installed; downloading; paused; verifying; ready; failed"
HM-01,Home,Главная,P0,single feed and Dora Dock,rail plus two-column dashboard,Проверить и начать,"ready; active; paused; low-storage; mic-error; recovery; empty"
RC-01,Recording,Проверка перед записью,P0,expanded bottom sheet,dialog or side sheet,Начать запись,"ready; consent-unchecked; model-missing; storage-warning; start-error"
RC-02,Recording,Активная запись,P0,deep full-screen with DoraWave,center waveform plus status pane,Стоп или пауза,"speech; quiet; silence-countdown; saving-part; route-change; warning"
RC-03,Recording,Пауза,P0,deep full-screen frozen DoraWave,center waveform plus status pane,Продолжить,"paused; long-pause; warning"
RC-04,Recording,Завершение и защита,P0,deep full-screen stable ring,center stage plus details,Открыть разговор,"closing; verifying; saved; retryable-error; recovery"
DL-01,Dialog,Подтверждение Stop,P0,bottom sheet,dialog,Завершить,"recording-continues; paused"
ER-01,Recovery,Частично восстановленная запись,P0,full-screen or card entry,detail pane,Проверить запись,"recovered; possible-tail-loss; corrupt-part; no-recoverable-data"
PQ-01,Processing,Очередь обработки,P0,list,rail plus list-detail,Исправить действие,"running; waiting-network; waiting-model; waiting-power; retryable; final-error; empty"
MD-01,Models,Управление моделями,P0,list cards,list plus model detail,Скачать модель,"not-installed; downloading; paused; verifying; ready; update; incompatible; failed"
HI-01,History,История разговоров,P0,search plus grouped list,list-detail,Открыть разговор,"populated; first-empty; filtered-empty; index-rebuild; privacy-preview"
HI-02,History,Поиск и фильтры,P0,search results single pane,results plus detail,Открыть источник,"typing; results; no-results; filter-active; entity-groups"
CV-01,Conversation,Обзор разговора,P0,local tabs and vertical sections,local nav plus reading pane,Проверить результат,"processing; review-needed; complete; recovered; audio-unavailable"
CV-02,Conversation,Хронологический протокол,P0,filtered timeline,wide timeline with context pane,Открыть источник,"all-events; decision-filter; task-filter; conflict; empty"
CV-03,Conversation,Транскрипт,P0,utterance list plus sticky player,transcript plus context/player pane,Воспроизвести или исправить,"normal; playing; low-confidence; user-edited; search-match; audio-unavailable"
CV-04,Conversation,Участники,P0,participant list,participant list plus correction pane,Переименовать,"named; unknown; overlap; split-error; merge-preview"
CV-05,Conversation,Решение и история версий,P0,stacked current plus timeline,current plus two-column evidence,Подтвердить или исправить,"current; tentative; superseded; cancelled; conflict; user-confirmed"
CV-06,Conversation,Сравнение конфликта,P0,stacked compare,two-up compare,Разрешить конфликт,"unresolved; choose-A; choose-B; leave-open; saved"
RV-01,Review,Очередь проверки,P0,risk-grouped cards,list-detail review,Подтвердить или исправить,"high-risk; speaker; transcript; empty; batch-disabled"
TK-01,Tasks,Список задач,P0,filters and task list,list-detail,Открыть задачу,"open; needs-confirmation; overdue; done; empty; filtered-empty"
TK-02,Tasks,Карточка и редактирование задачи,P0,single form,detail form with source pane,Сохранить,"view; edit; user-owned; machine-diff; ambiguous-deadline; no-assignee"
ST-01,Settings,Настройки,P0,category list,list-detail,Открыть категорию,"default; recording-active-banner"
ST-02,Settings,Режим обработки и регион,P0,mode cards,mode cards plus details,Выбрать режим,"local; hybrid; cloud; region-unavailable; consent-revoked"
ST-03,Settings,Согласие на облачную обработку,P0,full-height sheet,dialog or side sheet,Разрешить облако,"audio-off; transcript-off; accepted; declined; changed-provider"
ST-04,Settings,Модели и capabilities,P0,model summary list,list plus detail,Управлять моделями,"ready; missing; incompatible; update"
ST-05,Settings,Хранилище и retention,P0,stacked breakdown and actions,two-column breakdown,Освободить место,"normal; soft-low; hard-low; cleanup-running; retention-off; retention-on"
ST-06,Settings,Приватность и безопасность,P0,settings list,list-detail,Изменить защиту,"app-lock-off; app-lock-on; preview-hidden; analytics-off; analytics-on"
ST-07,Settings,Экспорт,P0,bottom sheet and system picker,dialog and picker,Экспортировать,"selection; plain-warning; running; completed; failed; cancelled"
DL-02,Dialog,Удаление разговора,P0,bottom sheet or dialog,dialog,Удалить разговор,"local-only; cloud-request; remote-pending; remote-failed"
ST-09,Settings,Диагностика,P0,status list,status list plus details,Скопировать безопасную диагностику,"healthy; permission-issue; OEM-restriction; network-issue; model-issue"
ER-02,Error,Микрофон недоступен,P0,full-screen action state,centered action state,Исправить,"permission; in-use; route; dead-object; unknown"
ER-03,Error,Недостаточно места,P0,banner then blocking state,detail pane,Завершить безопасно,"soft-warning; hard-stop; cleanup"
ER-04,Error,Облачная обработка недоступна,P0,inline card or full action state,detail pane,Обработать локально,"offline; provider; region; auth; final"
ER-05,Error,Повреждённый фрагмент,P0,scoped recovery card,detail with timeline,Проверить сохранившееся,"detected; quarantined; retry; partial-result"
PR-01,Privacy,Экран app-switcher privacy,P0,brand cover,brand cover,Вернуться в приложение,"enabled; biometric-required"
NT-01,Notification,Постоянное уведомление записи,P0,Android notification,Android notification,Вернуться или Stop,"recording; paused; recovery-action"
WD-01,Widget-future,Быстрый запуск записи,P2,not in MVP,not in MVP,Нет,"architectural-placeholder-only"
